,channel_id,video_id,like_count,comment
37,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,I can still remember the brofist PewDiePie and I love the song of bitch lasagna :)
38,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,bro is stuck on 111M subs
39,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,2,The reload is clean😂😂 5:58
40,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"Hey Felix just chiming in because the sitting up seats for babies are not really safe and are not healthy for their muscles and bones, there are other safe ways to teach them to sit. Much love, being a parent is not easy but you're doing so great!"
41,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Dude your kids cheeks are so chubby 😭
42,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,how pewds edit their video with this effect? Anyone knows what kind of color grade or filter que use?
43,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Felix somehow looks younger now that's funny
44,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,is the joyful crying i experience watching pewds family content the feelings that other people get watching family youtubers?
45,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,The purest video you’ve posted. You guys are the best parents ! ❤
46,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Pewds got Dad hair.
47,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,Aww his outfits are super cute!❤ i love the hat at the strawberry greenhouse
48,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"嘘だろ？
すごく可愛い❤"
49,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Bjorn really is a big boy damn haha
50,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,16:00 bjorn is giving the light skin stare
51,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,baby loves strawbarry
52,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"Bjorn, not even a year old, has experienced a lot and been to MANY places that I have never got to experience. Danggggggg im happy for the kid"
53,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,2,9:05 rubber soul best album
54,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,My goal is to enjoy my retirement just as much as pewds
55,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"Judging by how many views these videos get, Pewds, Mertz and Bjorn are gonna be responsible for at least 3 million babies being born worldwide. Maybe this is a scheme by the Japanese government to boost the low births rates after all hahaha"
56,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"Pewds was or still is so scared of every horror thing, I remember when he used to play such games and now.. we see his son being so brave, total opposite, it's amazing"
57,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"極東の日本に来て。ありがとうございます！英語分からないけどｗ　幸せそうな動画ホッコリ癒されるます。すくすく育つお子様！キャわわw！色々と大変でしょうが…

未来永劫　幸　祈り！感謝🙏"
58,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,I love your vlogs
59,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Tahukah sudah dunia Voli buat fans Mega katanya Mega membuat Akon YouTube name channel Megawatihangestrip salam dari Borneo fans Megawati hangestri Pratiwi forever Super Mega
60,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,felix is the best dad!!
61,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"i can look at Bjorn, and I can't get tired of it. So adorable!"
62,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,I still cant believe that the person who i have watched since i was young has become a father it truly warms my heart and to see him so happy makes me so happy aswell congratts pewds lots of love and thanks for everything
63,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"you have one minion, 2 more to go and you have a whole squad."
64,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,this is so cute 🥹
65,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Bjorn looks like he's going to be an absolute unit already
66,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"The way the your baby smiles is so cuteeeeee 😂❤ and pewdiepie, congrats man, you deserve this ❤"
67,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"Fk, I noticed I’ve been following you on YouTube for over 10 years. I remember what game we were supposed to be playing 10 years ago, and you told me to follow your YouTube. When I saw what you were doing, I thought it was some weird guy. Now that you’ve become a big youtuber, congratulations."
68,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Man ngl seeing Pewds from teens to adult to fatherhood makes me emotional. Also nice of him to make vlogs for his family. Make sure not to get stressed on stuff.
69,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,THE CUTT OF MOMO EATING I SWEAR HE WAS BOUTTA SAY U SUN OF A BITCHH LMAOOO
70,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"So lovely and heartwarming it is ❤😊 love your trip. Thanks for sharing with us.
I envy that you lives in my dream country without hassle to work as employees 😍"
71,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,De mis videos favoritos en todo YouTube ♥️
72,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,अंडा शराब मांस का सेवन न करें सतयुग आ रहा है बाबा जी का कहना है शाकाहारी भोजन करना है
73,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,What a great journey! (This thought actually always makes me emotional. From where to where felix has come! Good job king. Really)
74,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"When I watch one of your newest videos, I like to think about your videos of „Getting over it”"
75,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Björn is so adorable! Looks like a lovely trip and the dogs at the rescue centre are so cute!
76,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,i swear to god i could spend my whole day watching these vids they're so wholesome🥰
77,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"The pure joy peace and purpose Bjorne has brought to your life is so beautiful to witness, thank you for sharing"
78,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Cried at the end seeing marzia now my eyes burn
79,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,this is the happy ending we all wanted to see
80,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Really enjoy the editing and relaxing music.
81,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,Great to see pewdiepie enjoyin life
82,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"I would like to have a baby, but first i need a place to live, co-sign a house with me?"
83,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Bjorn said “dada”!
84,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,ד
85,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,So crazy you're in the same country as me and raising a baby around our baby's age. We might even meet one day bringing our toddler out to the parks lol.  I'm sure little luca would love to play with your child as well.
86,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Remember the video PewDiePie Said he doesn't want kids and Now he is walking in the park as a Happy Father 😅
87,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,Just realized bjorn is getting his private fridays with pewdiepie
88,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"I love this series. Keep them coming, but, but, i would love to see HARD climbing game series too PLEASEEEE 😭"
89,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Were those AI generated legs?
90,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,YIPPEEE
91,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Pewdiepie needs to be Inducted as the Hall of Fame of YouTube He is the Mohammad Ali of Youtube
92,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,Yooo what's up felix❤
93,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,The king of games has become the king of wholesome <3😍😍😍
94,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,2,"楽しみながら節分に取り組んでくれてとても嬉しい☺️
これからも日本での暮らしが充実しますように"
95,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"Im sorry, £85 for some shorts? Are they laced with gold"
96,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Bjorn will lookj back at these vlogs and probably cringe... LMAOOO
97,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,I remember when pewdiepie wasn’t a washed up has been
98,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,you all look so happy. Marzia is just beautiful. Thank you for shareing makes me smile
99,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,"Dunno if you know about it, but next time you're in Karuizawa, you should take the kiddo to 軽井沢おもちゃ大国 (Karuizawa Toy Kingdom). Maybe by this time next year, he'll be big enough to have a blast there!"
100,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,La guerra ha acabado
101,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,You're So tall that Bjorn riding you shoulders must be quite hazardous. 🥰
102,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,Having baby fever because of  Björn. 😣😣😫😫
103,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,50 dollars for a tshirt felix
104,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,"O My Lord , You are “Khair al-Razaqeen “ . 
Indeed the best sustenance is the one who obeys . All my brothers & Sisters , including me , who are working hard on YouTube , grant Success to all of them with your glory and blessings . Ameen Or Lord of the worlds 🤲😭"
105,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"smart job getting out of the sh that is the usa, look at your thiving, out at night with the family with not a care in the world.  this is what real cities should be like but not here in the good old us of a..... sh."
106,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,13:00
107,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,what a wholesome video
108,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,3:33 His reaction's so cute 😂❤
109,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Happy 13th Edgar 💕 my dog Tucker is 14
110,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,Prime pewdiepie would’ve at least had 1 million views by now 😭🙏
111,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,"日本で色々なことを体験されてて、見ていてとても嬉しいです☺️文化の違いで大変なこともあると思いますが、親子共々健康に気をつけて日々楽しんで下さい❤️
最近、関東で地震が多いので気をつけてください！"
112,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"Björn is a great name, crazy to see all the growth."
113,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,1:52 Kereel ge ziet er echt mager uit...
114,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"I was watching some point f the old montages last night and reminiscing, so watching this is so heartwarming. You uave a beautiful family Felix, and your baby is absolutely gorgeous. Wishing you and your family well!"
115,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"I've been following you for a long time and it's so good to see the beautiful family you created🤩 It's warm to my heart to see this kind of video, keep going"
116,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"I did not watch the video, I'm listening to smash mouth.
tell your kid that smash mouth is the most popular band ever, thanks@!
also tell them fortnite is kingdom hearts! you can pretty much tell them anything, they can't even repeat it!"
117,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,Jesus Christ is coming very soon
118,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,"We all have sinned  besides Jesus Christ, and God sent his son so we can have eternal life and not Hell so we must all repent of our sins and believe the gospel."
119,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,The Beatles❤❤❤
120,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,0,thank you for sharing. I genuinely wish you and your family health and happy. Thank You
121,UC-lHJZR3Gqxm24_Vd_AJ5Yw,YWrFNoTXbKs,1,"Best Slice of life anime hope, it gets an award."
